"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"California","Amador",2021,120,119,1,0,0,0,0,54,42,33,0,0,120,0,0,0
"California","Butte",2021,139,103,35,0,1,0,0,160,64,42,1,0,77,0,60,1
"California","Calaveras",2021,119,108,11,0,0,0,0,74,49,38,0,0,89,0,30,0
"California","Colusa",2021,309,204,92,6,7,0,0,199,75,38,0,0,62,0,242,5
"California","Contra Costa",2021,274,194,76,4,0,0,0,150,64,43,1,0,163,0,110,0
"California","Del Norte",2021,166,152,14,0,0,0,0,69,46,27,0,0,0,0,166,0
"California","El Dorado",2021,120,112,8,0,0,0,0,80,49,39,0,0,120,0,0,0
"California","Fresno",2021,274,93,136,39,5,1,0,278,115,58,1,2,146,0,114,11
"California","Glenn",2021,120,103,17,0,0,0,0,80,54,38,0,0,87,0,26,7
"California","Humboldt",2021,182,176,6,0,0,0,0,58,40,31,13,0,128,0,30,11
"California","Imperial",2021,304,172,121,10,0,0,1,326,81,48,0,1,85,0,119,99
"California","Inyo",2021,273,99,148,13,9,2,2,329,97,58,0,0,165,0,86,22
"California","Kern",2021,273,89,156,27,1,0,0,152,101,56,0,0,108,0,156,9
"California","Kings",2021,304,110,171,20,2,0,1,666,97,56,0,0,120,0,63,121
"California","Lake",2021,173,172,1,0,0,0,0,51,42,34,0,0,169,0,3,1
"California","Los Angeles",2021,182,28,127,18,9,0,0,195,122,64,1,9,78,0,90,4
"California","Madera",2021,242,134,96,12,0,0,0,150,87,49,0,2,201,0,36,3
"California","Marin",2021,274,240,34,0,0,0,0,87,52,34,1,5,161,0,107,0
"California","Mariposa",2021,267,152,99,14,2,0,0,159,90,47,0,0,264,0,3,0
"California","Merced",2021,164,140,20,4,0,0,0,119,63,28,0,0,0,0,136,28
"California","Mono",2021,180,148,29,0,0,0,3,2723,67,17,0,0,0,0,90,90
"California","Monterey",2021,182,169,13,0,0,0,0,71,47,38,1,0,134,0,40,7
"California","Napa",2021,140,127,13,0,0,0,0,77,50,38,1,0,101,0,38,0
"California","Nevada",2021,273,147,75,32,15,4,0,288,131,48,0,0,189,0,84,0
"California","Orange",2021,182,124,58,0,0,0,0,100,68,46,1,6,120,0,53,2
"California","Placer",2021,243,105,97,24,10,5,2,448,122,55,0,0,190,0,52,1
"California","Plumas",2021,273,108,93,26,25,14,7,436,177,61,0,0,0,0,273,0
"California","Riverside",2021,304,61,153,63,26,0,1,332,150,79,0,0,173,0,55,76
"California","Sacramento",2021,238,177,56,4,1,0,0,169,76,43,0,0,106,0,131,1
"California","San Benito",2021,273,236,37,0,0,0,0,100,56,41,0,0,265,0,6,2
"California","San Bernardino",2021,273,40,154,56,18,5,0,216,140,80,0,6,200,0,60,7
"California","San Diego",2021,222,94,126,2,0,0,0,126,84,58,1,0,109,0,112,0
"California","San Francisco",2021,274,235,39,0,0,0,0,73,54,37,1,3,166,0,104,0
"California","San Joaquin",2021,273,153,109,10,1,0,0,153,80,47,0,0,9,0,196,68
"California","San Luis Obispo",2021,243,131,109,3,0,0,0,115,74,50,0,0,166,0,60,17
"California","San Mateo",2021,274,252,22,0,0,0,0,89,47,34,1,4,187,0,82,0
"California","Santa Barbara",2021,213,182,31,0,0,0,0,74,52,41,1,0,145,0,64,3
"California","Santa Clara",2021,274,170,98,5,0,1,0,218,66,45,1,0,137,0,136,0
"California","Santa Cruz",2021,181,169,12,0,0,0,0,73,46,35,0,0,138,0,43,0
"California","Shasta",2021,268,169,87,9,3,0,0,177,84,46,0,0,253,0,13,2
"California","Solano",2021,274,207,64,3,0,0,0,126,61,41,1,1,187,0,84,1
"California","Sonoma",2021,274,242,32,0,0,0,0,88,52,33,2,0,173,0,95,4
"California","Stanislaus",2021,248,106,109,31,2,0,0,172,105,55,0,0,161,0,81,6
"California","Sutter",2021,120,92,28,0,0,0,0,78,63,40,0,0,70,0,50,0
"California","Tehama",2021,196,157,38,1,0,0,0,112,67,43,0,0,159,0,22,15
"California","Trinity",2021,168,146,22,0,0,0,0,93,57,23,0,0,0,0,168,0
"California","Tulare",2021,256,58,108,72,18,0,0,187,140,77,0,0,191,0,64,1
"California","Tuolumne",2021,116,114,2,0,0,0,0,64,46,37,0,0,116,0,0,0
"California","Ventura",2021,273,149,115,9,0,0,0,122,80,48,0,0,220,0,46,7
"California","Yolo",2021,270,218,50,2,0,0,0,140,62,40,0,0,233,0,35,2
"Colorado","Adams",2021,283,162,99,21,1,0,0,151,97,47,0,38,168,0,22,55
"Colorado","Arapahoe",2021,255,137,84,32,2,0,0,161,112,49,0,0,234,0,21,0
"Colorado","Archuleta",2021,230,225,5,0,0,0,0,55,39,20,0,0,30,0,0,200
"Colorado","Boulder",2021,257,127,100,27,3,0,0,159,105,51,0,0,196,0,61,0
"Colorado","Clear Creek",2021,235,114,111,10,0,0,0,133,90,51,0,0,235,0,0,0
"Colorado","Delta",2021,181,158,23,0,0,0,0,67,54,44,0,0,174,0,1,6
"Colorado","Denver",2021,283,121,131,29,2,0,0,166,107,55,0,56,134,0,93,0
"Colorado","Douglas",2021,251,136,79,31,5,0,0,177,115,49,0,0,201,0,50,0
"Colorado","El Paso",2021,250,146,80,24,0,0,0,140,100,48,0,0,230,0,13,7
"Colorado","Fremont",2021,44,43,1,0,0,0,0,62,28,17,0,0,0,0,0,44
"Colorado","Garfield",2021,181,118,62,1,0,0,0,101,71,47,0,0,180,0,1,0
"Colorado","Gilpin",2021,243,150,77,16,0,0,0,150,90,48,0,0,243,0,0,0
"Colorado","Gunnison",2021,241,164,77,0,0,0,0,93,64,47,0,0,241,0,0,0
"Colorado","Jefferson",2021,243,132,63,39,9,0,0,172,133,48,0,2,241,0,0,0
"Colorado","La Plata",2021,243,163,80,0,0,0,0,93,67,48,0,1,242,0,0,0
"Colorado","Larimer",2021,273,124,115,31,3,0,0,156,110,54,0,0,251,0,22,0
"Colorado","Mesa",2021,214,203,11,0,0,0,0,67,46,28,0,0,67,0,95,52
"Colorado","Montezuma",2021,273,189,82,2,0,0,0,115,67,46,0,0,273,0,0,0
"Colorado","Pitkin",2021,65,65,0,0,0,0,0,40,25,11,0,0,0,0,0,65
"Colorado","Prowers",2021,230,218,10,1,0,0,1,576,36,17,0,0,0,0,0,230
"Colorado","Pueblo",2021,113,102,10,1,0,0,0,138,49,23,0,0,0,0,67,46
"Colorado","Rio Blanco",2021,243,146,93,3,1,0,0,155,74,48,0,0,211,0,32,0
"Colorado","Routt",2021,227,220,7,0,0,0,0,68,34,16,0,0,0,0,0,227
"Colorado","San Miguel",2021,76,74,2,0,0,0,0,52,37,17,0,0,0,0,0,76
"Colorado","Weld",2021,257,127,98,31,1,0,0,154,105,51,0,1,202,0,54,0
"Connecticut","Fairfield",2021,179,139,33,5,2,0,0,151,74,42,0,8,102,0,69,0
"Connecticut","Hartford",2021,182,152,29,1,0,0,0,112,60,38,1,12,126,0,43,0
"Connecticut","Litchfield",2021,182,155,26,1,0,0,0,119,58,41,2,0,152,0,28,0
"Connecticut","Middlesex",2021,118,99,13,5,1,0,0,151,71,40,0,0,118,0,0,0
"Connecticut","New Haven",2021,182,146,32,4,0,0,0,143,65,40,1,10,110,0,57,4
"Connecticut","New London",2021,179,153,23,3,0,0,0,129,57,38,0,0,108,0,71,0
"Connecticut","Tolland",2021,113,92,20,1,0,0,0,101,71,41,0,0,113,0,0,0
"Connecticut","Windham",2021,241,213,27,1,0,0,0,140,51,37,0,0,241,0,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2021,304,44,226,22,12,0,0,166,106,62,0,0,0,0,304,0
"Delaware","Kent",2021,145,117,28,0,0,0,0,100,58,39,0,0,113,0,32,0
"Delaware","New Castle",2021,152,117,34,1,0,0,0,101,64,41,1,4,98,0,49,0
"Delaware","Sussex",2021,151,134,17,0,0,0,0,100,52,38,0,0,131,0,20,0
"District Of Columbia","District of Columbia",2021,274,174,90,9,1,0,0,153,72,45,1,29,150,0,94,0
"Florida","Alachua",2021,180,168,12,0,0,0,0,84,49,37,0,0,127,0,53,0
"Florida","Baker",2021,181,156,25,0,0,0,0,87,53,38,0,0,115,0,66,0
"Florida","Bay",2021,181,165,16,0,0,0,0,76,50,39,0,0,103,0,78,0
"Florida","Brevard",2021,181,152,29,0,0,0,0,74,55,41,0,0,105,0,76,0
"Florida","Broward",2021,182,125,56,1,0,0,0,103,59,45,1,1,66,0,114,0
"Florida","Citrus",2021,180,165,15,0,0,0,0,75,48,33,0,0,0,5,175,0
"Florida","Collier",2021,180,161,19,0,0,0,0,71,51,39,0,0,91,0,89,0
"Florida","Columbia",2021,180,152,28,0,0,0,0,77,53,40,0,0,95,0,85,0
"Florida","Duval",2021,182,131,51,0,0,0,0,88,59,44,1,0,85,1,95,0
"Florida","Escambia",2021,181,147,34,0,0,0,0,72,58,42,0,0,101,0,80,0
"Florida","Flagler",2021,177,168,9,0,0,0,0,67,48,37,0,0,177,0,0,0
"Florida","Hamilton",2021,179,154,25,0,0,0,0,65,52,34,0,0,0,2,177,0
"Florida","Highlands",2021,180,166,14,0,0,0,0,93,49,38,0,0,180,0,0,0
"Florida","Hillsborough",2021,182,126,54,1,1,0,0,200,61,46,1,0,85,4,90,2
"Florida","Holmes",2021,180,156,24,0,0,0,0,61,52,39,0,0,81,0,99,0
"Florida","Indian River",2021,238,224,14,0,0,0,0,74,48,35,0,0,238,0,0,0
"Florida","Lake",2021,172,154,18,0,0,0,0,87,51,38,0,0,172,0,0,0
"Florida","Lee",2021,181,160,21,0,0,0,0,97,51,40,0,0,117,0,64,0
"Florida","Leon",2021,181,146,35,0,0,0,0,77,55,40,0,0,76,0,105,0
"Florida","Liberty",2021,242,236,6,0,0,0,0,61,45,32,0,0,242,0,0,0
"Florida","Manatee",2021,181,174,7,0,0,0,0,93,48,35,0,0,181,0,0,0
"Florida","Marion",2021,181,147,33,1,0,0,0,101,56,41,0,0,114,0,67,0
"Florida","Martin",2021,181,159,22,0,0,0,0,81,52,40,0,0,93,0,88,0
"Florida","Miami-Dade",2021,182,149,32,1,0,0,0,119,56,43,1,5,91,0,85,0
"Florida","Nassau",2021,180,176,4,0,0,0,0,91,20,3,0,0,0,180,0,0
"Florida","Okaloosa",2021,181,177,4,0,0,0,0,61,46,36,0,0,177,0,0,4
"Florida","Orange",2021,182,151,31,0,0,0,0,87,54,40,1,0,120,0,56,5
"Florida","Osceola",2021,176,162,14,0,0,0,0,93,48,38,0,0,176,0,0,0
"Florida","Palm Beach",2021,181,160,21,0,0,0,0,81,51,41,0,0,96,0,85,0
"Florida","Pasco",2021,181,163,18,0,0,0,0,87,50,38,0,0,181,0,0,0
"Florida","Pinellas",2021,182,143,39,0,0,0,0,93,58,43,1,0,106,0,74,1
"Florida","Polk",2021,181,146,35,0,0,0,0,84,54,42,0,0,95,0,86,0
"Florida","Putnam",2021,181,181,0,0,0,0,0,46,28,16,0,0,0,2,0,179
"Florida","Santa Rosa",2021,181,160,21,0,0,0,0,76,51,40,0,0,111,0,70,0
"Florida","Sarasota",2021,181,153,28,0,0,0,0,90,54,41,0,0,99,0,82,0
"Florida","Seminole",2021,181,152,29,0,0,0,0,97,53,42,0,0,117,0,64,0
"Florida","St. Lucie",2021,179,169,10,0,0,0,0,74,48,37,0,0,179,0,0,0
"Florida","Volusia",2021,181,153,28,0,0,0,0,77,54,42,0,0,108,0,73,0
"Florida","Wakulla",2021,182,172,10,0,0,0,0,72,48,37,4,0,119,0,59,0
"Georgia","Bibb",2021,273,213,58,2,0,0,0,131,62,38,0,0,87,30,156,0
"Georgia","Chatham",2021,273,223,49,1,0,0,0,101,56,39,0,0,66,47,160,0
"Georgia","Chattooga",2021,184,177,7,0,0,0,0,80,47,36,0,0,184,0,0,0
"Georgia","Clarke",2021,243,177,65,1,0,0,0,107,62,42,0,0,95,0,148,0
"Georgia","Clayton",2021,70,57,13,0,0,0,0,69,59,31,0,0,0,0,70,0
"Georgia","Cobb",2021,204,178,26,0,0,0,0,80,54,40,0,0,165,0,39,0
"Georgia","Coffee",2021,70,66,4,0,0,0,0,65,43,26,0,0,0,0,70,0
"Georgia","Columbia",2021,184,178,6,0,0,0,0,67,47,35,0,0,184,0,0,0
"Georgia","Dawson",2021,153,138,15,0,0,0,0,87,50,37,0,0,153,0,0,0
"Georgia","DeKalb",2021,271,207,62,2,0,0,0,119,61,40,1,20,92,27,131,0
"Georgia","Dougherty",2021,229,170,55,4,0,0,0,133,69,38,0,0,0,0,229,0
"Georgia","Douglas",2021,213,184,27,2,0,0,0,101,61,39,0,0,213,0,0,0
"Georgia","Floyd",2021,236,194,40,2,0,0,0,141,59,30,0,0,0,0,236,0
"Georgia","Fulton",2021,273,182,87,4,0,0,0,150,69,43,1,12,75,29,156,0
"Georgia","Glynn",2021,232,226,6,0,0,0,0,61,45,33,0,0,197,0,35,0
"Georgia","Gwinnett",2021,232,170,60,2,0,0,0,108,64,43,0,0,128,0,104,0
"Georgia","Hall",2021,243,194,49,0,0,0,0,81,58,35,0,0,0,0,243,0
"Georgia","Henry",2021,271,225,45,1,0,0,0,112,58,37,0,0,171,0,100,0
"Georgia","Houston",2021,237,181,52,4,0,0,0,111,64,38,0,0,0,0,237,0
"Georgia","Lowndes",2021,239,195,44,0,0,0,0,84,55,34,0,0,0,0,239,0
"Georgia","Murray",2021,210,179,31,0,0,0,0,87,58,40,0,0,210,0,0,0
"Georgia","Muscogee",2021,304,253,49,1,1,0,0,154,56,35,0,0,174,0,130,0
"Georgia","Pike",2021,234,210,24,0,0,0,0,80,51,38,0,0,234,0,0,0
"Georgia","Richmond",2021,243,158,80,5,0,0,0,145,67,43,0,0,94,8,140,1
"Georgia","Rockdale",2021,243,216,27,0,0,0,0,93,54,39,0,0,243,0,0,0
"Georgia","Sumter",2021,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0,0
"Georgia","Walker",2021,116,83,33,0,0,0,0,91,64,38,0,0,0,0,116,0
"Georgia","Washington",2021,243,175,65,3,0,0,0,111,66,39,0,0,0,0,243,0
"Hawaii","Hawaii",2021,273,212,42,17,2,0,0,178,84,19,0,0,0,141,132,0
"Hawaii","Honolulu",2021,182,178,4,0,0,0,0,66,40,30,1,1,157,13,9,1
"Hawaii","Kauai",2021,181,181,0,0,0,0,0,35,24,13,0,21,0,3,157,0
"Hawaii","Maui",2021,181,181,0,0,0,0,0,38,26,17,0,0,0,0,181,0
"Idaho","Ada",2021,273,196,65,12,0,0,0,136,74,44,0,3,241,0,28,1
"Idaho","Bannock",2021,272,196,76,0,0,0,0,100,64,45,0,0,152,57,36,27
"Idaho","Benewah",2021,180,139,41,0,0,0,0,89,57,33,0,0,0,0,180,0
"Idaho","Blaine",2021,166,166,0,0,0,0,0,43,23,14,0,0,0,0,166,0
"Idaho","Boise",2021,181,162,19,0,0,0,0,77,52,31,0,0,0,0,181,0
"Idaho","Bonner",2021,181,168,13,0,0,0,0,69,47,27,0,0,0,0,144,37
"Idaho","Bonneville",2021,176,173,3,0,0,0,0,76,33,19,0,0,0,0,176,0
"Idaho","Butte",2021,271,203,67,1,0,0,0,101,71,44,0,0,271,0,0,0
"Idaho","Canyon",2021,181,159,22,0,0,0,0,67,51,31,0,0,0,0,154,27
"Idaho","Caribou",2021,174,172,1,1,0,0,0,101,24,3,0,0,0,174,0,0
"Idaho","Franklin",2021,181,167,14,0,0,0,0,75,40,20,0,0,0,0,181,0
"Idaho","Idaho",2021,273,209,51,6,7,0,0,167,81,41,0,0,156,0,117,0
"Idaho","Kootenai",2021,180,176,4,0,0,0,0,56,40,18,0,0,0,0,180,0
"Idaho","Latah",2021,181,181,0,0,0,0,0,49,23,13,0,0,0,0,181,0
"Idaho","Lemhi",2021,181,136,44,1,0,0,0,118,63,26,0,0,0,0,181,0
"Idaho","Nez Perce",2021,272,205,56,9,2,0,0,181,78,25,0,0,0,0,272,0
"Idaho","Shoshone",2021,179,127,51,1,0,0,0,113,64,32,0,0,0,0,176,3
"Idaho","Twin Falls",2021,177,177,0,0,0,0,0,45,31,19,0,0,0,0,177,0
"Idaho","Valley",2021,176,155,21,0,0,0,0,93,54,21,0,0,0,0,176,0
"Illinois","Adams",2021,242,219,23,0,0,0,0,93,50,40,0,0,242,0,0,0
"Illinois","Champaign",2021,304,234,70,0,0,0,0,99,60,40,0,0,195,0,109,0
"Illinois","Clark",2021,271,252,19,0,0,0,0,84,48,37,0,0,271,0,0,0
"Illinois","Cook",2021,305,127,158,19,1,0,0,156,91,54,1,20,113,0,142,29
"Illinois","DuPage",2021,304,201,101,2,0,0,0,105,66,44,0,0,151,0,153,0
"Illinois","Effingham",2021,237,226,11,0,0,0,0,77,46,37,0,0,237,0,0,0
"Illinois","Hamilton",2021,304,227,75,2,0,0,0,115,63,42,0,0,152,0,152,0
"Illinois","Jersey",2021,301,245,54,2,0,0,0,112,56,41,0,0,175,0,126,0
"Illinois","Jo Daviess",2021,243,223,20,0,0,0,0,97,49,38,0,0,243,0,0,0
"Illinois","Kane",2021,264,199,64,1,0,0,0,112,66,41,0,0,211,0,53,0
"Illinois","La Salle",2021,296,296,0,0,0,0,0,16,4,1,0,0,0,296,0,0
"Illinois","Lake",2021,244,180,55,9,0,0,0,136,77,42,0,0,244,0,0,0
"Illinois","Macon",2021,304,202,99,3,0,0,0,112,67,44,0,0,128,25,151,0
"Illinois","Macoupin",2021,297,278,19,0,0,0,0,93,49,34,0,69,227,1,0,0
"Illinois","Madison",2021,304,143,152,6,3,0,0,200,74,52,0,0,105,3,195,1
"Illinois","McHenry",2021,302,216,84,2,0,0,0,105,67,43,0,0,174,0,128,0
"Illinois","McLean",2021,304,226,77,1,0,0,0,107,60,42,0,0,148,0,156,0
"Illinois","Monroe",2021,181,181,0,0,0,0,0,29,10,3,0,0,0,181,0,0
"Illinois","Peoria",2021,300,217,82,1,0,0,0,101,62,43,0,0,155,0,145,0
"Illinois","Randolph",2021,301,240,60,1,0,0,0,122,58,40,0,0,177,0,124,0
"Illinois","Rock Island",2021,300,221,76,3,0,0,0,112,64,43,0,0,149,0,151,0
"Illinois","Saint Clair",2021,304,195,106,2,1,0,0,185,63,44,0,4,95,0,205,0
"Illinois","Sangamon",2021,303,243,60,0,0,0,0,97,57,38,0,0,156,0,147,0
"Illinois","Tazewell",2021,298,297,1,0,0,0,0,66,6,1,0,0,0,298,0,0
"Illinois","Wabash",2021,270,270,0,0,0,0,0,31,7,1,0,0,0,270,0,0
"Illinois","Will",2021,304,196,106,2,0,0,0,105,64,44,0,0,138,0,166,0
"Illinois","Winnebago",2021,300,207,93,0,0,0,0,100,67,44,0,0,164,0,136,0
"Indiana","Allen",2021,304,234,70,0,0,0,0,100,61,40,0,0,222,0,82,0
"Indiana","Bartholomew",2021,271,215,56,0,0,0,0,93,60,40,0,0,180,0,91,0
"Indiana","Boone",2021,273,247,25,1,0,0,0,101,49,36,0,0,273,0,0,0
"Indiana","Brown",2021,269,249,20,0,0,0,0,84,49,36,0,0,269,0,0,0
"Indiana","Carroll",2021,273,247,25,1,0,0,0,105,50,38,0,0,273,0,0,0
"Indiana","Clark",2021,304,212,92,0,0,0,0,96,68,42,0,0,157,0,147,0
"Indiana","Daviess",2021,181,181,0,0,0,0,0,20,4,0,0,0,0,181,0,0
"Indiana","Delaware",2021,301,260,41,0,0,0,0,97,54,38,0,0,264,0,37,0
"Indiana","Dubois",2021,93,71,22,0,0,0,0,93,64,33,0,0,0,0,88,5
"Indiana","Elkhart",2021,304,234,70,0,0,0,0,87,58,39,0,0,214,0,90,0
"Indiana","Floyd",2021,304,281,23,0,0,0,0,100,49,37,0,0,302,2,0,0
"Indiana","Gibson",2021,257,251,6,0,0,0,0,69,19,1,0,0,0,257,0,0
"Indiana","Greene",2021,264,215,49,0,0,0,0,100,58,39,0,0,229,0,35,0
"Indiana","Hamilton",2021,273,195,78,0,0,0,0,100,67,42,0,0,177,0,96,0
"Indiana","Hendricks",2021,304,286,18,0,0,0,0,80,47,36,0,0,304,0,0,0
"Indiana","Henry",2021,87,70,17,0,0,0,0,79,59,31,0,0,0,0,87,0
"Indiana","Howard",2021,269,203,64,2,0,0,0,105,64,42,0,0,185,0,84,0
"Indiana","Knox",2021,239,205,32,2,0,0,0,108,58,39,0,0,239,0,0,0
"Indiana","LaPorte",2021,304,238,61,5,0,0,0,143,67,39,0,0,280,0,24,0
"Indiana","Lake",2021,304,174,124,5,1,0,0,169,72,48,0,5,137,5,155,2
"Indiana","Madison",2021,303,215,88,0,0,0,0,97,64,43,0,0,194,0,109,0
"Indiana","Marion",2021,274,118,153,3,0,0,0,114,81,53,1,3,84,0,186,0
"Indiana","Monroe",2021,246,197,49,0,0,0,0,95,59,33,0,0,0,0,246,0
"Indiana","Perry",2021,270,242,28,0,0,0,0,97,51,38,0,0,270,0,0,0
"Indiana","Porter",2021,304,205,91,8,0,0,0,136,74,43,0,0,192,22,81,9
"Indiana","Posey",2021,268,253,15,0,0,0,0,77,46,35,0,0,268,0,0,0
"Indiana","Shelby",2021,273,253,20,0,0,0,0,100,48,36,0,0,273,0,0,0
"Indiana","Spencer",2021,90,69,21,0,0,0,0,87,58,32,0,0,0,0,90,0
"Indiana","St. Joseph",2021,304,198,105,1,0,0,0,105,68,44,0,1,182,0,121,0
"Indiana","Tippecanoe",2021,231,179,52,0,0,0,0,97,58,35,0,0,0,0,231,0
"Indiana","Vanderburgh",2021,274,196,77,1,0,0,0,109,67,42,1,0,141,0,132,0
"Indiana","Vigo",2021,273,193,80,0,0,0,0,99,65,42,0,0,151,0,122,0
"Indiana","Wabash",2021,241,209,31,1,0,0,0,101,51,38,0,0,241,0,0,0
"Indiana","Warrick",2021,273,246,26,1,0,0,0,105,50,38,0,0,271,2,0,0
"Indiana","Whitley",2021,249,189,60,0,0,0,0,96,59,36,0,0,0,0,249,0
"Iowa","Black Hawk",2021,304,238,66,0,0,0,0,96,59,35,0,0,0,0,304,0
"Iowa","Bremer",2021,244,223,21,0,0,0,0,90,49,40,0,0,244,0,0,0
"Iowa","Cerro Gordo",2021,91,89,2,0,0,0,0,56,32,19,0,0,0,0,0,91
"Iowa","Clinton",2021,304,174,128,2,0,0,0,112,68,47,0,0,117,1,186,0
"Iowa","Harrison",2021,244,217,27,0,0,0,0,87,54,39,0,0,244,0,0,0
"Iowa","Johnson",2021,303,214,87,2,0,0,0,121,63,39,0,0,0,0,303,0
"Iowa","Lee",2021,75,59,16,0,0,0,0,69,58,32,0,0,0,0,75,0
"Iowa","Linn",2021,304,190,110,4,0,0,0,123,68,45,0,0,127,2,174,1
"Iowa","Montgomery",2021,297,250,46,1,0,0,0,112,57,39,0,0,168,0,129,0
"Iowa","Muscatine",2021,304,238,66,0,0,0,0,88,58,35,0,0,0,0,304,0
"Iowa","Palo Alto",2021,301,229,68,2,2,0,0,162,61,41,0,0,182,0,119,0
"Iowa","Polk",2021,304,228,75,1,0,0,0,110,61,42,0,5,160,0,138,1
"Iowa","Pottawattamie",2021,93,71,21,1,0,0,0,117,59,35,0,0,0,0,90,3
"Iowa","Scott",2021,305,171,133,1,0,0,0,102,67,49,1,0,110,0,138,56
"Iowa","Van Buren",2021,301,243,58,0,0,0,0,93,56,40,0,0,153,0,148,0
"Iowa","Woodbury",2021,85,65,19,0,1,0,0,163,62,34,0,0,0,0,85,0
